run_id,workload,block_id,sequence_index,timestamp,timestamp_ns,checkpoint,variant,raw_elapsed_ns,operations_per_run,ns_per_operation,result,cpu_affinity,control_candidate_role
p7-p9-v2-6ae9e1f,P8,block-004,32,2026-08-22T16:24:08.263635+00:00,1787415848263664333,C,O0,3975923,512,7765.474609375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-004,33,2026-08-22T16:24:08.267835+00:00,1787415848267858908,C,O2,4114967,512,8037.044921875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-004,34,2026-08-22T16:24:08.273115+00:00,1787415848273141811,C,O3,5196154,512,10148.73828125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-004,35,2026-08-22T16:24:08.276257+00:00,1787415848276279062,H4,O0,3062992,512,5982.40625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-005,36,2026-08-22T16:24:08.279507+00:00,1787415848279530741,H5,O0,3165800,512,6183.203125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-005,37,2026-08-22T16:24:08.283130+00:00,1787415848283155720,H5,O1,3545530,512,6924.86328125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-005,38,2026-08-22T16:24:08.293656+00:00,1787415848293679037,C,O0,10449278,512,20408.74609375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-005,39,2026-08-22T16:24:08.321200+00:00,1787415848321235100,C,O2,21538586,512,42067.55078125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-005,40,2026-08-22T16:24:08.326082+00:00,1787415848326107634,C,O3,4779276,512,9334.5234375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-005,41,2026-08-22T16:24:08.329611+00:00,1787415848329636029,H4,O0,3449727,512,6737.748046875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-005,42,2026-08-22T16:24:08.332407+00:00,1787415848332434415,H4,O1,2715228,512,5303.1796875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-006,43,2026-08-22T16:24:08.335777+00:00,1787415848335804782,H5,O1,3271479,512,6389.607421875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-006,44,2026-08-22T16:24:08.339901+00:00,1787415848339925628,C,O0,4038067,512,7886.849609375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-006,45,2026-08-22T16:24:08.343627+00:00,1787415848343654345,C,O2,3644438,512,7118.04296875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-006,46,2026-08-22T16:24:08.350693+00:00,1787415848350717101,C,O3,6986867,512,13646.224609375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-006,47,2026-08-22T16:24:08.353971+00:00,1787415848353997070,H4,O0,3197960,512,6246.015625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-006,48,2026-08-22T16:24:08.357388+00:00,1787415848357417612,H4,O1,3333194,512,6510.14453125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-006,49,2026-08-22T16:24:08.360784+00:00,1787415848360806994,H5,O0,3309043,512,6462.974609375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-007,50,2026-08-22T16:24:08.365880+00:00,1787415848365905090,C,O0,5010867,512,9786.849609375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-007,51,2026-08-22T16:24:08.370355+00:00,1787415848370380656,C,O2,4393427,512,8580.912109375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-007,52,2026-08-22T16:24:08.374842+00:00,1787415848374870161,C,O3,4405777,512,8605.033203125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-007,53,2026-08-22T16:24:08.378913+00:00,1787415848378938078,H4,O0,3986769,512,7786.658203125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-007,54,2026-08-22T16:24:08.383393+00:00,1787415848383421878,H4,O1,4268003,512,8335.943359375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-007,55,2026-08-22T16:24:08.386307+00:00,1787415848386332203,H5,O0,2811307,512,5490.833984375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-007,56,2026-08-22T16:24:08.389889+00:00,1787415848389914982,H5,O1,3494860,512,6825.8984375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-008,57,2026-08-22T16:24:08.394140+00:00,1787415848394166061,C,O2,4083561,512,7975.705078125,7560,taskset -c 0,control
