run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b,block-005,31,10,2026-08-22T16:18:40.782811+00:00,1787415520782828908,C,O2,tiny_04_arr,1962811,10000,196.2811,taskset -c 0,control
p1-v2-primary-3716b0b,block-005,32,11,2026-08-22T16:18:40.785019+00:00,1787415520785040759,C,O2,tiny_04_arr,2144362,10000,214.4362,taskset -c 0,control
p1-v2-primary-3716b0b,block-005,33,10,2026-08-22T16:18:40.889821+00:00,1787415520889842455,H4,O1,tiny_04_arr,104728917,10000,10472.8917,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,34,10,2026-08-22T16:18:40.996594+00:00,1787415520996611469,H5,O1,tiny_04_arr,106709305,10000,10670.9305,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,35,11,2026-08-22T16:18:41.101942+00:00,1787415521101959522,H5,O1,tiny_04_arr,105291854,10000,10529.1854,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,36,11,2026-08-22T16:18:41.207475+00:00,1787415521207494669,H4,O1,tiny_04_arr,105475337,10000,10547.5337,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,37,12,2026-08-22T16:18:41.209091+00:00,1787415521209108564,C,O2,tiny_04_arr,1548047,10000,154.8047,taskset -c 0,control
p1-v2-primary-3716b0b,block-006,38,12,2026-08-22T16:18:41.319522+00:00,1787415521319545803,H4,O1,tiny_04_arr,110349930,10000,11034.993,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,39,12,2026-08-22T16:18:41.428753+00:00,1787415521428776049,H5,O1,tiny_04_arr,109154668,10000,10915.4668,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,40,13,2026-08-22T16:18:41.538175+00:00,1787415521538199904,H5,O1,tiny_04_arr,109259988,10000,10925.9988,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,41,13,2026-08-22T16:18:41.643884+00:00,1787415521643902485,H4,O1,tiny_04_arr,105640972,10000,10564.0972,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,42,13,2026-08-22T16:18:41.646408+00:00,1787415521646433117,C,O2,tiny_04_arr,2371874,10000,237.1874,taskset -c 0,control
p1-v2-primary-3716b0b,block-007,43,14,2026-08-22T16:18:41.752138+00:00,1787415521752156454,H4,O1,tiny_04_arr,105651499,10000,10565.1499,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,44,14,2026-08-22T16:18:41.859276+00:00,1787415521859293383,H5,O1,tiny_04_arr,107081090,10000,10708.109,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,45,15,2026-08-22T16:18:41.961760+00:00,1787415521961784487,H5,O1,tiny_04_arr,102418915,10000,10241.8915,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,46,15,2026-08-22T16:18:42.068203+00:00,1787415522068233681,H4,O1,tiny_04_arr,106352656,10000,10635.2656,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,47,14,2026-08-22T16:18:42.070705+00:00,1787415522070720909,C,O2,tiny_04_arr,2425638,10000,242.5638,taskset -c 0,control
p1-v2-primary-3716b0b,block-007,48,15,2026-08-22T16:18:42.072187+00:00,1787415522072205316,C,O2,tiny_04_arr,1383969,10000,138.3969,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,49,16,2026-08-22T16:18:42.177081+00:00,1787415522177109935,H5,O1,tiny_04_arr,104721662,10000,10472.1662,taskset -c 0,candidate
